,Treatment,Temperature,Symbiont,Image,Roughness,SD,SE
67,27º Aposymbiotic,27º,Aposymbiotic,AH2_b005,3714.350479,1067.091502,337.4439619
68,27º Aposymbiotic,27º,Aposymbiotic,AH2_b008,4716.65224,1179.294627,372.9257053
69,27º Aposymbiotic,27º,Aposymbiotic,AH2_b013,12343.99524,5948.536744,1881.092486
70,27º Aposymbiotic,27º,Aposymbiotic,AH2_b015,8156.798368,647.9400457,204.8966332
71,27º Aposymbiotic,27º,Aposymbiotic,AH2_c008,7425.191622,4638.8402,1466.930073
72,27º Aposymbiotic,27º,Aposymbiotic,AH2_c013,6134.414901,1976.20658,624.931392
73,27º Aposymbiotic,27º,Aposymbiotic,AH2_c024,5696.957854,1604.371814,507.3469146
74,27º Symbiotic,27º,Symbiotic,SH1a015,1699.304197,446.2742298,141.1243027
75,27º Symbiotic,27º,Symbiotic,SH1a026,12334.83468,4153.275324,1313.380977
76,27º Symbiotic,27º,Symbiotic,SH1a036,4054.742178,2718.575808,859.6891544
77,27º Symbiotic,27º,Symbiotic,SH1a037,6266.064647,3388.781439,1071.626784
78,27º Symbiotic,27º,Symbiotic,SH1b_a029,4642.473916,1978.178904,625.5550956
79,27º Symbiotic,27º,Symbiotic,SH1b_a033,6272.309404,1504.754077,475.84502
80,27º Symbiotic,27º,Symbiotic,SH1b021,5738.336561,2273.975344,719.0941429
81,27º Symbiotic,27º,Symbiotic,SH1b_b021,5498.522636,1615.157758,510.7577296
82,27º Symbiotic,27º,Symbiotic,SH1b_b024,5031.856432,1544.340107,488.3632219
83,27º Symbiotic,27º,Symbiotic,SH1b_b026,5917.805903,2216.736452,700.993616
84,27º Symbiotic,27º,Symbiotic,SH1b049,12998.03464,2687.745345,849.9397062
85,27º Symbiotic,27º,Symbiotic,SH2010,5480.90549,3133.633734,990.9419952
86,27º Symbiotic,27º,Symbiotic,SH2022,6821.714742,1549.095294,489.8669443
87,27º Symbiotic,27º,Symbiotic,SH2030,7580.937435,1461.317089,462.1090385
88,27º Symbiotic,27º,Symbiotic,SH2033,5192.718025,1860.425837,588.3183061
89,27º Symbiotic,27º,Symbiotic,SH2036,2765.369162,771.0134331,243.8158555
90,27º Symbiotic,27º,Symbiotic,SH2_b013,5442.155883,1729.798977,547.0104661
91,27º Symbiotic,27º,Symbiotic,SH2_b019,6402.04808,1046.555561,330.9499272
92,27º Symbiotic,27º,Symbiotic,SH2041,3556.895078,455.9641983,144.1885398
93,Amb. Aposymbiotic,20º,Aposymbiotic,AW10005.csv,4916.263593,2143.112873,677.7117963
94,Amb. Aposymbiotic,20º,Aposymbiotic,AW10007.csv,6357.02889,1742.266467,550.9530326
95,Amb. Aposymbiotic,20º,Aposymbiotic,AW10010.csv,6639.085582,2231.613501,705.6981522
96,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b006.csv,6141.60121,844.2041477,266.9607917
97,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b008.csv,7624.590664,1293.48043,409.0344266
98,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b013.csv,8842.832227,1818.166424,574.9547064
99,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b022.csv,12453.01162,2581.394873,816.3087339
100,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b025.csv,16609.08662,4215.306783,1332.997047
101,Amb. Aposymbiotic,20º,Aposymbiotic,AW10_b030.csv,22001.13668,8592.339042,2717.13618
102,Amb. Aposymbiotic,20º,Aposymbiotic,AW11007.csv,6124.73647,807.6303172,255.395131
103,Amb. Aposymbiotic,20º,Aposymbiotic,AW11012.csv,16543.88779,3317.149564,1048.974796
104,Amb. Aposymbiotic,20º,Aposymbiotic,AW11016.csv,7933.154855,4589.269,1451.254283
105,Amb. Aposymbiotic,20º,Aposymbiotic,AW11029.csv,13621.74453,5578.169492,1763.972077
106,Amb. Aposymbiotic,20º,Aposymbiotic,AW11033.csv,6600.40633,2485.358254,785.9392884
107,Amb. Aposymbiotic,20º,Aposymbiotic,AW11037.csv,7655.059744,2789.209113,882.0253666
108,Amb. Aposymbiotic,20º,Aposymbiotic,AW11_c007.csv,6812.772217,1848.871164,584.6643978
109,Amb. Aposymbiotic,20º,Aposymbiotic,AW11_c010.csv,5775.63116,1674.919792,529.6561441
110,Amb. Aposymbiotic,20º,Aposymbiotic,AW11_c015.csv,12146.05246,3372.600611,1066.509957
111,Amb. Aposymbiotic,20º,Aposymbiotic,AW11_c027.csv,11209.38267,1649.203119,521.5238182
112,Amb. Symbiotic,20º,Symbiotic,SW2007.csv,3672.287414,594.410461,187.9690922
113,Amb. Symbiotic,20º,Symbiotic,SW2011.csv,3061.931574,1587.666049,502.0640878
114,Amb. Symbiotic,20º,Symbiotic,SW2013.csv,3010.64664,1789.859262,566.0031959
115,Amb. Symbiotic,20º,Symbiotic,SW2018.csv,8453.258788,1431.268583,452.6068666
116,Amb. Symbiotic,20º,Symbiotic,SW2021.csv,6471.163721,2905.148282,918.6885513
117,Amb. Symbiotic,20º,Symbiotic,SW2_b008.csv,11346.03329,2488.917015,787.0646676
118,Amb. Symbiotic,20º,Symbiotic,SW2_b011.csv,16985.23159,1761.879992,557.1553739
